FB URL,Correu a lista?
https://www.facebook.com/caroline.ilio.7,SIM
https://www.facebook.com/roberta.mesquita.902,SIM
https://www.facebook.com/eudavicaampos,SIM
https://www.facebook.com/jaque.perigo,SIM
https://www.facebook.com/cristiani.dovale,SIM
https://www.facebook.com/milena.felipe.988,SIM
https://www.facebook.com/miryanneh.oliveira,SIM
https://www.facebook.com/paola.goncalves.3726613,SIM
https://www.facebook.com/saudecompanyvagas/,SIM
https://www.facebook.com/simpleconsultorios/,SIM
https://www.facebook.com/daniela.constante.169,SIM
https://www.facebook.com/joaomarlon.padilha.5,SIM
https://www.facebook.com/rodolfo.sab.549,SIM
https://www.facebook.com/kathleen.kalkmann.1,SIM
https://www.facebook.com/ste.luas.35,SIM
https://www.facebook.com/profile.php?id=100028931404993,SIM
https://www.facebook.com/cristiane.pires.940641,SIM
https://www.facebook.com/milena.liborio.98,SIM
https://www.facebook.com/isabel.limapiccini.96,SIM
https://www.facebook.com/irmaeliciane.machado,SIM
https://www.facebook.com/amanda.pachecomello,SIM
https://www.facebook.com/amido.dajudytresse,SIM
https://www.facebook.com/mirtaelly.carvalho.33,SIM
https://www.facebook.com/profile.php?id=100009148972278,SIM
https://www.facebook.com/TaynaSantosdeAbreu,SIM
https://www.facebook.com/eduardoscontatos,SIM
https://www.facebook.com/jaqueline.reis.3762,SIM
https://www.facebook.com/joaobatistagdecastro,SIM
https://www.facebook.com/julia.martingeiger,SIM
https://www.facebook.com/leticia.leite.357,SIM
https://www.facebook.com/cassia.matiaslino,SIM
https://www.facebook.com/eudes.santos.397,SIM
https://www.facebook.com/alaine.facundo,SIM
https://www.facebook.com/lucilene.trindademartins,SIM
https://www.facebook.com/anapaula.norberto.9,SIM
https://www.facebook.com/thaisnathaliam,SIM
https://www.facebook.com/matheusanjosdesigner,SIM
https://www.facebook.com/dininha.cdr,SIM
https://www.facebook.com/profile.php?id=100000684541740,SIM
https://www.facebook.com/luciano.candido.50,SIM
https://www.facebook.com/livia.tavares.714,SIM
https://www.facebook.com/bruna.bonifacio.794,SIM
https://www.facebook.com/marina.maximiano.5,SIM
https://www.facebook.com/carolinaalessandra.gomezcalero,SIM
https://www.facebook.com/poliana.batista.98622,SIM
https://www.facebook.com/maarikurmann,SIM
https://www.facebook.com/michelly.alves.5473,SIM
https://www.facebook.com/AmandaViepsz,SIM
https://www.facebook.com/lilian.santos.1656,SIM
https://www.facebook.com/nando.farias.1238,SIM
https://www.facebook.com/diegodemoraes.moraes,SIM
https://www.facebook.com/nelly.silva.9699,SIM
https://www.facebook.com/alan.ferreiradossantos.1044,SIM
https://www.facebook.com/aline.muriel.125323,SIM
https://www.facebook.com/taynara.caroline.904,SIM
https://www.facebook.com/profile.php?id=100004947286728,SIM
https://www.facebook.com/thayna.cristina.334,SIM
https://www.facebook.com/profile.php?id=100011358250974,SIM
https://www.facebook.com/isadoraborgess,SIM
https://www.facebook.com/flavia.alencar.98622,SIM
https://www.facebook.com/marta.soaresdelima,SIM
https://www.facebook.com/wonka.alves,SIM
https://www.facebook.com/carolineandrioli.araujo,SIM
https://www.facebook.com/iasmim.cardoso456,SIM
https://www.facebook.com/cristina.dequadros.5,SIM
https://www.facebook.com/adriana.fernandes.3572,SIM
https://www.facebook.com/Poliane.holtman,SIM
https://www.facebook.com/rayssa.figueiredo.771,SIM
https://www.facebook.com/joannamattosMakeUp1,SIM
https://www.facebook.com/profile.php?id=100008997466900,SIM
https://www.facebook.com/thalyne.seiler.7,SIM
https://www.facebook.com/simone.damascenos2,SIM
https://www.facebook.com/taine.amaral,SIM
https://www.facebook.com/tatiana.medina.75491,SIM
https://www.facebook.com/shirleyananda.vitorino,SIM
https://www.facebook.com/caroline.furlan.9,SIM
https://www.facebook.com/profile.php?id=100004441517304,SIM
https://www.facebook.com/jessica.cristine.3958,SIM
https://www.facebook.com/stella.melo.5686,SIM
https://www.facebook.com/lucia.nascimento.777,SIM
https://www.facebook.com/lays.vergari,SIM
https://www.facebook.com/anascimentod,SIM
https://www.facebook.com/madalena.neves.12139,SIM
https://www.facebook.com/lilianalopes.lilly,SIM
https://www.facebook.com/yaisacarlos,SIM
https://www.facebook.com/emile.gomes.1,SIM
https://www.facebook.com/profile.php?id=100041777163735,SIM
https://www.facebook.com/marilia.sotero,SIM
https://www.facebook.com/fernandaaduarrte,SIM
https://www.facebook.com/adriana.pintomartins.9,SIM
https://www.facebook.com/laura.weis.31,SIM
https://www.facebook.com/rohpagani,SIM
https://www.facebook.com/fernanda.rocha.7543,SIM
https://www.facebook.com/amanda.souza.3910,SIM
https://www.facebook.com/jacira.brito.5458,SIM
https://www.facebook.com/Nogueirathi,SIM
https://www.facebook.com/profile.php?id=100007854165522,SIM
https://www.facebook.com/natallia.souza.39,SIM
https://www.facebook.com/leonardo.rocha.520900,SIM
https://www.facebook.com/bianca.pinheirogerhardt,SIM
https://www.facebook.com/maurofelipe.bernardo,SIM
https://www.facebook.com/cristiane.deassis.75,SIM
https://www.facebook.com/analucia.ramoslourenco.5,SIM
https://www.facebook.com/viviane.montejani,SIM
https://www.facebook.com/priscila.rodrigues.503,SIM
https://www.facebook.com/fabio.sousaferreira.5,SIM
https://www.facebook.com/debora.presley77,SIM
https://www.facebook.com/profile.php?id=100011414323809,SIM
https://www.facebook.com/nutristarsbr/,SIM
https://www.facebook.com/patricia.mirisola.31,SIM
https://www.facebook.com/endrew.cardoso.73,SIM
https://www.facebook.com/profile.php?id=100057368944475,SIM
https://www.facebook.com/micaela.oliveira.75457081,SIM
https://www.facebook.com/lorraine.larroupe,SIM
https://www.facebook.com/gilson.souzadasilva.9693,SIM
https://www.facebook.com/tatafariaferreira,SIM
https://www.facebook.com/giulliajenniffer.ribeirosabino,SIM
https://www.facebook.com/silvana.batista.3720,SIM
https://www.facebook.com/bruno.raphael.1806,SIM
https://www.facebook.com/matheus.couto.106,SIM
https://www.facebook.com/brendha.ribas,SIM
https://www.facebook.com/ingryd.ivase,SIM
https://www.facebook.com/mariana.desouza.5815,SIM
https://www.facebook.com/luck.demedeirosramos,SIM
https://www.facebook.com/lucas.g.vargas.14,SIM
https://www.facebook.com/nutricasebr/,SIM
https://www.facebook.com/profile.php?id=100064848825109,SIM
https://www.facebook.com/profile.php?id=100064815403084,SIM
https://www.facebook.com/sah.juan2020,SIM
